sample-id 	forward-absolute-filepath	reverse-absolute-filepath
SRR6000904	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000904_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000904_2.fastq
SRR6000913	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000913_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000913_2.fastq
SRR6000914	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000914_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000914_2.fastq
SRR6000915	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000915_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000915_2.fastq
SRR6000917	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000917_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000917_2.fastq
SRR6000918	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000918_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000918_2.fastq
SRR6000919	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000919_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000919_2.fastq
SRR6000922	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000922_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000922_2.fastq
SRR6000923	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000923_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000923_2.fastq
SRR6000924	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000924_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000924_2.fastq
SRR6000925	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000925_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000925_2.fastq
SRR6000926	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000926_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000926_2.fastq
SRR6000927	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000927_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000927_2.fastq
SRR6000929	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000929_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000929_2.fastq
SRR6000930	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000930_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000930_2.fastq
SRR6000933	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000933_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000933_2.fastq
SRR6000934	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000934_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000934_2.fastq
SRR6000935	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000935_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000935_2.fastq
SRR6000936	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000936_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000936_2.fastq
SRR6000937	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000937_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000937_2.fastq
SRR6000938	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000938_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000938_2.fastq
SRR6000939	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000939_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000939_2.fastq
SRR6000888	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000888_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000888_2.fastq
SRR6000916	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000916_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000916_2.fastq
SRR6000941	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000941_1.fastq 	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000941_2.fastq
SRR6000948	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000948_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000948_2.fastq
